time,pos_0,pos_1,pos_2,pos_3,pos_4,pos_5,vel_0,vel_1,vel_2,vel_3,vel_4,vel_5,acc_0,acc_1,acc_2,acc_3,acc_4,acc_5,torque_0,torque_1,torque_2,torque_3,torque_4,torque_5
18.387037460,-0.047370840,-0.278704703,0.046461429,0.275424480,0.042589173,-0.571154058,0.030522382,0.234369770,-0.240664184,-0.203931242,-0.046023559,0.141085446,-109.617744446,-1475.562988281,4026.816162109,-5297.101074219,2665.798828125,12723.490234375,-0.011363154,4.973087311,1.153693795,-0.939555764,-0.006388964,0.002427522
18.407249077,-0.046401680,-0.271146417,0.039822675,0.266997874,0.041179352,-0.565139353,0.022573285,0.187635273,-0.141289711,-0.217078850,-0.033419281,0.122225098,-377.833038330,-475.871673584,-121.491989136,5773.402832031,488.318939209,5130.791015625,-0.070917651,4.617268562,1.032476783,-0.787106276,-0.013627057,0.000867218
18.427433576,-0.046090674,-0.267421365,0.035869192,0.266587615,0.040353421,-0.562550604,0.018594742,0.197394252,-0.189220399,-0.079844944,-0.037001237,0.084904432,2.623393297,-1731.093994141,4594.800292969,-5629.114257812,1617.438110352,3434.090087891,0.006861667,4.641136169,1.182626605,-0.932659388,-0.006768069,0.000878662
18.447497045,-0.045669470,-0.263587803,0.031913441,0.264693350,0.039482579,-0.558919847,0.023348032,0.215961993,-0.226150274,-0.104449503,-0.040442750,0.106710933,25.820196152,-1011.934204102,3147.135009766,-6035.034179688,2611.909423828,12257.460937500,0.023247615,4.747756958,1.062835217,-0.967263222,-0.005148894,0.002362721
18.467648373,-0.045175388,-0.259551704,0.027758138,0.261382967,0.038608868,-0.554810166,0.027000612,0.224604517,-0.232254088,-0.180121332,-0.042205401,0.138762653,-82.852188110,-1141.237426758,3313.000732422,-5319.187988281,2718.771484375,15024.166992188,0.000647970,4.720666409,1.112445116,-0.936934590,-0.005581595,0.002818486
18.487800424,-0.044676527,-0.255339295,0.023265477,0.257813901,0.037711762,-0.550629973,0.027541833,0.232399389,-0.245545894,-0.201284230,-0.044221722,0.152336776,-120.677207947,-1461.076538086,3941.180175781,-4905.606933594,2590.890625000,13403.220703125,-0.012078652,4.674015522,1.190595388,-0.902741969,-0.005823847,0.002590046
18.507946955,-0.043805499,-0.247903347,0.016538428,0.249637768,0.036352247,-0.544168472,0.020048687,0.183530554,-0.142342806,-0.209509656,-0.032185618,0.131269649,-367.158660889,-504.865447998,-60.101966858,5730.767578125,499.575805664,5449.427246094,-0.061900102,4.333507538,1.064005494,-0.759558439,-0.012752570,0.000942612
18.528094550,-0.043526020,-0.244234741,0.012531896,0.249321431,0.035556339,-0.541394114,0.016916418,0.194569379,-0.192772582,-0.074249536,-0.035554349,0.091258600,20.279056549,-1443.680541992,3861.701904297,-4797.344726562,1365.990234375,3119.961425781,0.011843575,4.356957436,1.212624431,-0.905603290,-0.005972703,0.000933189
18.548258597,-0.043127827,-0.240461975,0.008570210,0.247333840,0.034729157,-0.537510872,0.021923868,0.212946445,-0.227607593,-0.107723065,-0.038302060,0.114443198,3.391325235,-578.742858887,1827.437988281,-3588.699462891,1611.267211914,8210.530273438,0.019337688,4.454667091,1.089986324,-0.933380008,-0.004711595,0.002505929
18.568321162,-0.042670622,-0.236481562,0.004387825,0.243996486,0.033892192,-0.533110201,0.024938079,0.221247032,-0.233167797,-0.181889191,-0.040104080,0.148579463,-66.413101196,-683.158142090,1959.614746094,-3026.250244141,1616.115844727,9618.609375000,-0.002610361,4.419169426,1.148527980,-0.900718570,-0.005100549,0.003000505
18.588465099,-0.042215437,-0.232351542,-0.000088292,0.240463182,0.033033475,-0.528651297,0.025161199,0.228041187,-0.245240659,-0.198441043,-0.042106226,0.163014829,-86.663230896,-936.359619141,2492.128662109,-2937.964111328,1689.548095703,9404.104492188,-0.011288694,4.371969700,1.220309258,-0.866788685,-0.005242864,0.002751964
18.608523868,-0.041420635,-0.225108728,-0.006762159,0.232549801,0.031734500,-0.521781445,0.018026818,0.177779019,-0.140266642,-0.201498330,-0.030734496,0.139559612,-365.779541016,-543.805053711,22.866537094,5652.528320312,515.701843262,5760.417480469,-0.054418616,4.048997879,1.095547795,-0.733661830,-0.011952889,0.001006003
18.628672817,-0.041164160,-0.221536368,-0.010735736,0.232277036,0.030973263,-0.518840671,0.015716920,0.189811066,-0.192339152,-0.070320949,-0.033844750,0.097016372,20.226905823,-762.413513184,2054.485351562,-2596.449707031,749.637268066,1818.399169922,0.015979743,4.075293541,1.238273263,-0.877677083,-0.005222404,0.000978264
18.648830643,-0.040781319,-0.217863739,-0.014624125,0.230171621,0.030193806,-0.514725089,0.020913256,0.207645938,-0.224417016,-0.112574749,-0.035905417,0.121490106,-20.572471619,-766.774719238,2463.875000000,-4997.409667969,2377.441162109,13019.339843750,0.015374693,4.166382790,1.116986752,-0.898435831,-0.004318714,0.002634773
18.668980895,-0.040354583,-0.213987276,-0.018740300,0.226801410,0.029399211,-0.510067225,0.023250449,0.215227559,-0.228960916,-0.183834955,-0.037723392,0.157498226,-137.043731689,-1089.726318359,3077.763671875,-4540.803222656,2612.410400391,16595.080078125,-0.005105739,4.124942780,1.184131622,-0.863288045,-0.004654726,0.003160451
18.689182491,-0.039932482,-0.209979132,-0.023130011,0.223324880,0.028580289,-0.505344927,0.023380309,0.221440092,-0.240834206,-0.195058733,-0.039766338,0.172715157,-129.366638184,-1265.481201172,3332.540039062,-3754.941894531,2379.942138672,14025.110351562,-0.009677399,4.084387779,1.251331568,-0.831768692,-0.004607866,0.002903176
18.709356833,-0.039192036,-0.202986166,-0.029639201,0.215631232,0.027347112,-0.498079389,0.016482824,0.170808136,-0.135823309,-0.194585696,-0.029187046,0.147587299,-371.451354980,-584.251586914,120.283248901,5529.695800781,535.993408203,6083.242675781,-0.048874676,3.781682730,1.133490682,-0.707486510,-0.011223390,0.001068145
18.729415951,-0.038948786,-0.199531525,-0.033529267,0.215352833,0.026619470,-0.494966239,0.015072967,0.184008628,-0.189496547,-0.068707071,-0.032066666,0.102757588,79.199615479,-1952.492797852,5319.315429688,-6900.226562500,2060.641113281,5264.980468750,0.019135926,3.816039801,1.268271565,-0.848269403,-0.004442558,0.001029558
18.749477771,-0.038573135,-0.195991501,-0.037265569,0.213074267,0.025892418,-0.490637153,0.020321583,0.200539514,-0.216935113,-0.120039843,-0.033341460,0.128464386,-64.829078674,-730.626220703,2397.707031250,-5043.950683594,2635.529052734,15441.329101562,0.010177014,3.899725199,1.149558187,-0.860180855,-0.004024942,0.002751568
18.769629537,-0.038171615,-0.192257002,-0.041233744,0.209679738,0.025143899,-0.485764205,0.021894827,0.207041472,-0.220034778,-0.185592517,-0.035153732,0.165481225,-4.752341747,-30.230102539,83.796173096,-116.180938721,74.141853333,496.798522949,-0.007389349,3.853466272,1.225893259,-0.823556721,-0.004239762,0.003284641
18.789789297,-0.037773795,-0.188414231,-0.045441125,0.206274912,0.024371384,-0.480827689,0.022080284,0.212484285,-0.231227070,-0.190884545,-0.037074804,0.180819958,-160.935058594,-1384.935180664,3610.211425781,-3867.372070312,2779.895996094,17113.285156250,-0.008587043,3.821732521,1.285880923,-0.795487344,-0.004021603,0.003015569
18.809937320,-0.037075650,-0.181733489,-0.051638246,0.198841095,0.023214230,-0.473246038,0.015184422,0.162609786,-0.128307030,-0.186376899,-0.027432626,0.153986618,-361.873931885,-593.298767090,219.567626953,5092.540527344,531.484008789,6053.953613281,-0.044443130,3.537401676,1.177348256,-0.681404889,-0.010540457,0.001115166
18.830015780,-0.036839228,-0.178434640,-0.055340160,0.198519140,0.022528145,-0.470000446,0.014762327,0.176332295,-0.181570008,-0.068097785,-0.029883318,0.107326761,89.386085510,-1608.898315430,4440.738769531,-5934.883300781,1876.541381836,4983.766601562,0.020814646,3.578641415,1.297707081,-0.816396117,-0.003745887,0.001064846
18.850169671,-0.036467027,-0.175052419,-0.058856525,0.196099371,0.021856088,-0.465489209,0.019939093,0.191778988,-0.204971924,-0.126691386,-0.030536937,0.134110332,-62.628147125,-333.688690186,1128.806884766,-2485.050292969,1435.956054688,8888.071289062,0.004753802,3.655433416,1.186784863,-0.821428239,-0.003766537,0.002847118
